,root,triad,bass,fingering
2161,G,7(b9),none,"[(7, 4), (6, 2), (7, 3), (6, 1), (-1, -1), (-1, -1)]"
2162,G,7(b9),none,"[(4, 4), (3, 2), (4, 3), (3, 1), (-1, -1), (-1, -1)]"
2163,G,7(b9),none,"[(-1, -1), (0, 4), (10, 1), (0, 3), (11, 2), (-1, -1)]"
2164,G,7(b9),none,"[(10, 4), (9, 2), (10, 3), (9, 1), (-1, -1), (-1, -1)]"
2165,G,7(b9),none,"[(1, 4), (0, 2), (1, 3), (0, 1), (-1, -1), (-1, -1)]"
2166,G,7(b9),none,"[(-1, -1), (9, 4), (7, 1), (9, 3), (-1, -1), (-1, -1)]"
2167,G,7(b9),none,"[(-1, -1), (8, 4), (-1, -1), (6, 2), (5, 1), (7, 3)]"
2168,G,m9,none,"[(-1, -1), (-1, -1), (2, 2), (3, 4), (1, 1), (3, 3)]"
2169,G,m9,none,"[(5, 4), (3, 1), (3, 1), (3, 1), (5, 3), (3, 1)]"
2170,G,m9,none,"[(-1, -1), (10, 4), (10, 3), (8, 1), (10, 2), (-1, -1)]"
2171,G,m9,none,"[(5, 4), (3, 3), (3, 3), (3, 3), (-1, -1), (3, 2)]"
2172,G,13(b9),none,"[(0, 0), (0, 0), (1, 1), (3, 3), (-1, -1), (-1, -1)]"
2173,G,13(b9),none,"[(-1, -1), (9, 3), (9, 3), (9, 3), (8, 1), (-1, -1)]"
2174,G,13(b9),none,"[(10, 4), (9, 3), (9, 3), (9, 3), (8, 1), (-1, -1)]"
2175,G,13(b9),none,"[(4, 3), (5, 4), (4, 2), (3, 1), (-1, -1), (-1, -1)]"
2176,G,13(b9),none,"[(0, 0), (0, 0), (1, 1), (3, 4), (-1, -1), (3, 3)]"
2177,G,sus4,none,"[(3, 4), (1, 1), (0, 0), (0, 0), (-1, -1), (3, 3)]"
2178,G,sus4,none,"[(3, 1), (3, 1), (5, 4), (5, 3), (3, 1), (3, 1)]"
2179,G,sus4,none,"[(10, 1), (1, 4), (0, 3), (0, 2), (10, 1), (-1, -1)]"
2180,G,sus4,none,"[(3, 1), (3, 1), (5, 4), (5, 3), (-1, -1), (-1, -1)]"
2181,G,6/9,none,"[(3, 4), (3, 3), (2, 1), (2, 1), (2, 1), (3, 2)]"
2182,G,6/9,none,"[(5, 4), (5, 3), (4, 1), (5, 2), (-1, -1), (-1, -1)]"
2183,G,6/9,none,"[(10, 4), (10, 3), (9, 1), (9, 1), (10, 2), (-1, -1)]"
